lat_center,lon_center,lat_bin,lon_bin,grid_id
20.5560595,92.21271593112205,2,30,2_30
20.5560595,92.22111161989754,2,31,2_31
20.5560595,92.22950730867304,2,32,2_32
20.5560595,92.23790299744851,2,33,2_33
20.5560595,92.24629868622401,2,34,2_34
20.5560595,92.2546943749995,2,35,2_35
20.5560595,92.26309006377498,2,36,2_36
20.5560595,92.27148575255048,2,37,2_37
20.5560595,92.27988144132597,2,38,2_38
20.5560595,92.28827713010145,2,39,2_39
20.5560595,92.29667281887694,2,40,2_40
20.5560595,92.30506850765244,2,41,2_41
20.5560595,92.31346419642792,2,42,2_42
20.5560595,92.32185988520341,2,43,2_43
20.5560595,92.3302555739789,2,44,2_44
20.5560595,92.3386512627544,2,45,2_45
20.5560595,92.34704695152988,2,46,2_46
20.5560595,92.35544264030537,2,47,2_47
20.5560595,92.36383832908086,2,48,2_48
20.5560595,92.37223401785634,2,49,2_49
20.5560595,92.38062970663184,2,50,2_50
20.5560595,92.38902539540733,2,51,2_51
20.5560595,92.39742108418281,2,52,2_52
20.5560595,92.4058167729583,2,53,2_53
20.5560595,92.4142124617338,2,54,2_54
20.5560595,92.42260815050928,2,55,2_55
20.5650525,91.96924095663286,3,1,3_1
20.5650525,91.97763664540835,3,2,3_2
20.5650525,91.98603233418383,3,3,3_3
20.5650525,91.99442802295933,3,4,3_4
20.5650525,92.00282371173482,3,5,3_5
20.5650525,92.0112194005103,3,6,3_6
20.5650525,92.0196150892858,3,7,3_7
20.5650525,92.02801077806129,3,8,3_8
20.5650525,92.03640646683678,3,9,3_9
20.5650525,92.04480215561226,3,10,3_10
20.5650525,92.05319784438775,3,11,3_11
20.5650525,92.06159353316325,3,12,3_12
20.5650525,92.06998922193873,3,13,3_13
20.5650525,92.07838491071422,3,14,3_14
20.5650525,92.08678059948971,3,15,3_15
20.5650525,92.0951762882652,3,16,3_16
20.5650525,92.10357197704069,3,17,3_17
20.5650525,92.11196766581618,3,18,3_18
20.5650525,92.12036335459166,3,19,3_19
20.5650525,92.12875904336715,3,20,3_20
20.5650525,92.13715473214265,3,21,3_21
20.5650525,92.14555042091814,3,22,3_22
20.5650525,92.15394610969362,3,23,3_23
20.5650525,92.16234179846911,3,24,3_24
20.5650525,92.17073748724461,3,25,3_25
20.5650525,92.17913317602009,3,26,3_26
20.5650525,92.18752886479558,3,27,3_27
20.5650525,92.19592455357107,3,28,3_28
20.5650525,92.20432024234655,3,29,3_29
20.5650525,92.21271593112205,3,30,3_30
20.5650525,92.22111161989754,3,31,3_31
20.5650525,92.22950730867304,3,32,3_32
20.5650525,92.23790299744851,3,33,3_33
20.5650525,92.24629868622401,3,34,3_34
20.5650525,92.2546943749995,3,35,3_35
20.5650525,92.26309006377498,3,36,3_36
20.5650525,92.27148575255048,3,37,3_37
20.5650525,92.27988144132597,3,38,3_38
20.5650525,92.28827713010145,3,39,3_39
20.5650525,92.29667281887694,3,40,3_40
20.5650525,92.30506850765244,3,41,3_41
20.5650525,92.31346419642792,3,42,3_42
20.5650525,92.32185988520341,3,43,3_43
20.5650525,92.3302555739789,3,44,3_44
20.5650525,92.3386512627544,3,45,3_45
20.5650525,92.34704695152988,3,46,3_46
20.5650525,92.35544264030537,3,47,3_47
20.5650525,92.36383832908086,3,48,3_48
20.5650525,92.37223401785634,3,49,3_49
20.5650525,92.38062970663184,3,50,3_50
20.5650525,92.38902539540733,3,51,3_51
20.5650525,92.39742108418281,3,52,3_52
20.5650525,92.4058167729583,3,53,3_53
20.5650525,92.4142124617338,3,54,3_54
20.5650525,92.42260815050928,3,55,3_55
20.5740455,91.96924095663286,4,1,4_1
20.5740455,91.97763664540835,4,2,4_2
20.5740455,91.98603233418383,4,3,4_3
20.5740455,91.99442802295933,4,4,4_4
