CS_ID,District,Upazila,union,lon,lat,Shelter Name (English),DRRO Capacity,go_code,area,latitude,longitude,male_pop,female_pop,literacy_rate
cs_75,cox's bazar,teknaf,teknaf paurashava,92.29863718,20.873915,teknaf upazila complex adarsha school,2500.0,,,,,,,
cs_76,cox's bazar,ukhia,haldia palong,92.1052,21.28168,hiltop high school,2500.0,,,,,,,
cs_77,cox's bazar,ukhia,haldia palong,92.0974,21.31118,moricha govt. primary school,2500.0,,,,,,,
cs_78,cox's bazar,ukhiya,haldia palong,92.0998,21.30192,moricha palong high school,400.0,,,,,,,
cs_79,cox's bazar,ukhia,haldia palong,92.0979,21.30437,muktijodda high school,2500.0,,,,,,,
cs_80,cox's bazar,ukhiya,haldia palong,92.1305,21.30507,nalbania govt. primary school,450.0,,,,,,,
cs_81,cox's bazar,ukhiya,haldia palong,92.113863,21.322018,pagalir bil govt. primary school,300.0,,,,,,,
cs_82,cox's bazar,ukhiya,haldia palong,92.09257402,21.28606745,rumkha palong govt. primary school,400.0,,,,,,,
cs_83,cox's bazar,ukhia,haldia palong,92.1203,21.28237,rumkha palong high school,2500.0,,,,,,,
cs_84,cox's bazar,ukhia,haldia palong,92.0956,21.27728,rumkhapalong madrasha,2500.0,,,,,,,
cs_85,cox's bazar,ukhiya,jalia palong,92.119708,21.100552,sepotkhali govt. primary school,400.0,,,,,,,
cs_86,cox's bazar,ukhiya,jalia palong,92.0952,21.12503,choang khali govt. primary school,300.0,,,,,,,
cs_87,cox's bazar,ukhiya,jalia palong,92.0507,21.27298,dailpara govt. primary school,400.0,,,,,,,
cs_88,cox's bazar,ukhiya,jalia palong,92.049598,21.23622,enani govt. primary school,400.0,,,,,,,
cs_89,cox's bazar,ukhiya,jalia palong,92.081143,21.287992,lambaripara govt. primary school,350.0,,,,,,,
cs_91,cox's bazar,ukhiya,jalia palong,92.049,21.21018,md. safir bil govt. primary school,450.0,,,,,,,
cs_92,cox's bazar,ukhiya,jalia palong,92.129765,21.09138,monkhali govt. primary school,400.0,,,,,,,
cs_93,cox's bazar,ukhiya,jalia palong,92.0535,21.25883,nidania govt. primary school,450.0,,,,,,,
cs_94,cox's bazar,ukhiya,jalia palong,92.0571,21.17055,ruppoti govt. primary school,400.0,,,,,,,
cs_95,cox's bazar,ukhiya,jalia palong,92.0707,21.28413,sonaichori govt. primary school,400.0,,,,,,,
cs_96,cox's bazar,ukhia,jalia palong,92.05523939,21.28575443,sonarpara dakhil madrasha,2500.0,,,,,,,
cs_97,cox's bazar,ukhia,jalia palong,92.0544,21.28638,sonarpara high school,2500.0,,,,,,,
cs_98,cox's bazar,ukhiya,jalia palong,92.0549,21.28523,sonarpara govt. primary school,400.0,,,,,,,
cs_99,cox's bazar,ukhiya,palong khali,92.1771,21.14668,anjuman para govt. primary school,350.0,,,,,,,
