lat_center,lon_center,lat_bin,lon_bin,grid_id,geometry,union,landcover,elev,slope,total_pop,pop_cell,dist_to_coast_km,hazard_score,hazard_class
21.07992255,92.14555042091814,46,22,46_22,POINT (92.14555042091814 21.07992255),baharchhara,10,-32768.0,-32768.0,28805,626,1.0412852849764012,0.4898874289448282,2
21.07992255,92.15394610969362,46,23,46_23,POINT (92.15394610969362 21.07992255),whykong,10,-32768.0,-32768.0,50863,2,1.7554566890543937,0.3629162468683824,3
21.07992255,92.16234179846911,46,24,46_24,POINT (92.16234179846911 21.07992255),whykong,10,-32768.0,-32768.0,50863,421,2.435810068501239,0.2910521769430106,3
21.07992255,92.1707374872446,46,25,46_25,POINT (92.1707374872446 21.07992255),whykong,10,-32768.0,-32768.0,50863,15,3.113792903446417,0.24308467233783912,4
21.07992255,92.17913317602007,46,26,46_26,POINT (92.17913317602007 21.07992255),whykong,10,-32768.0,-32768.0,50863,61,3.771625276196605,0.2095721985941624,4
21.07992255,92.18752886479558,46,27,46_27,POINT (92.18752886479558 21.07992255),whykong,30,-32768.0,-32768.0,50863,179,4.519696424512605,0.1811693838014472,4
21.07992255,92.19592455357107,46,28,46_28,POINT (92.19592455357107 21.07992255),whykong,10,-32768.0,-32768.0,50863,95,4.497824432069792,0.1818901298787974,4
21.07992255,92.20432024234655,46,29,46_29,POINT (92.20432024234655 21.07992255),whykong,10,-32768.0,-32768.0,50863,1,3.7394659415091507,0.2109942369754804,4
21.07992255,92.21271593112203,46,30,46_30,POINT (92.21271593112203 21.07992255),whykong,10,-32768.0,-32768.0,50863,269,2.9691203315048496,0.2519449944771165,3
21.07992255,92.22111161989754,46,31,46_31,POINT (92.22111161989754 21.07992255),nhilla,40,-32768.0,-32768.0,46896,116,2.3204957986037966,0.30115984499076326,3
21.07992255,92.22950730867304,46,32,46_32,POINT (92.22950730867304 21.07992255),nhilla,40,-32768.0,-32768.0,46896,5,1.7739769292276002,0.36049326490918043,3
21.07992255,92.23790299744851,46,33,46_33,POINT (92.23790299744851 21.07992255),nhilla,40,-32768.0,-32768.0,46896,126,1.2275243822329864,0.44892886828809836,2
21.07992255,92.246298686224,46,34,46_34,POINT (92.246298686224 21.07992255),nhilla,80,-32768.0,-32768.0,46896,32,0.6810718352383726,0.5948585771518813,2
21.07992255,92.2546943749995,46,35,46_35,POINT (92.2546943749995 21.07992255),nhilla,40,-32768.0,-32768.0,46896,0,0.13461928824190905,0.8813528999224917,1
21.08891555,92.12875904336715,47,20,47_20,POINT (92.12875904336715 21.08891555),jalia palong,30,-32768.0,-32768.0,47656,20,0.04816499129906951,0.954048273221399,1
21.08891555,92.13715473214263,47,21,47_21,POINT (92.13715473214263 21.08891555),jalia palong,10,-32768.0,-32768.0,47656,6,0.5878278942940907,0.6297911779944989,2
21.08891555,92.14555042091814,47,22,47_22,POINT (92.14555042091814 21.08891555),whykong,10,-32768.0,-32768.0,50863,162,1.435961119255597,0.4105155833955137,2
21.08891555,92.15394610969362,47,23,47_23,POINT (92.15394610969362 21.08891555),whykong,10,-32768.0,-32768.0,50863,385,2.3484584112538434,0.2986448918221881,3
21.08891555,92.16234179846911,47,24,47_24,POINT (92.16234179846911 21.08891555),whykong,10,-32768.0,-32768.0,50863,3,3.10900640116773,0.24336783698263698,4
21.08891555,92.1707374872446,47,25,47_25,POINT (92.1707374872446 21.08891555),whykong,10,-32768.0,-32768.0,50863,157,3.7835203054946924,0.2090510620078959,4
21.08891555,92.17913317602007,47,26,47_26,POINT (92.17913317602007 21.08891555),whykong,10,-32768.0,-32768.0,50863,36,4.478532918812997,0.1825306181087371,4
21.08891555,92.18752886479558,47,27,47_27,POINT (92.18752886479558 21.08891555),whykong,30,-32768.0,-32768.0,50863,201,3.9685236638235413,0.2012670297378532,4
21.08891555,92.19592455357107,47,28,47_28,POINT (92.19592455357107 21.08891555),whykong,60,-32768.0,-32768.0,50863,56,3.5481248554060323,0.2198708328799222,4
21.08891555,92.20432024234655,47,29,47_29,POINT (92.20432024234655 21.08891555),whykong,10,-32768.0,-32768.0,50863,170,3.3223069940125796,0.23135793024078047,4
21.08891555,92.21271593112203,47,30,47_30,POINT (92.21271593112203 21.08891555),nhilla,10,-32768.0,-32768.0,46896,5,2.4639180939536964,0.28869042883707613,3
21.08891555,92.22111161989754,47,31,47_31,POINT (92.22111161989754 21.08891555),nhilla,40,-32768.0,-32768.0,46896,27,1.6275987966748746,0.38057560433710874,3
21.08891555,92.22950730867304,47,32,47_32,POINT (92.22950730867304 21.08891555),nhilla,80,-32768.0,-32768.0,46896,15,0.9653743975603635,0.5088089074739698,2
21.08891555,92.23790299744851,47,33,47_33,POINT (92.23790299744851 21.08891555),nhilla,80,-32768.0,-32768.0,46896,13,0.4189218505657495,0.7047604486471768,1
21.09790855,92.12036335459166,48,19,48_19,POINT (92.12036335459166 21.09790855),jalia palong,40,-32768.0,-32768.0,47656,3,0.40321018659012914,0.7126516109678835,1
21.09790855,92.12875904336715,48,20,48_20,POINT (92.12875904336715 21.09790855),whykong,10,-32768.0,-32768.0,50863,75,0.8287973032785065,0.5468074554830589,2
21.09790855,92.13715473214263,48,21,48_21,POINT (92.13715473214263 21.09790855),whykong,10,-32768.0,-32768.0,50863,6,1.306041974928928,0.4336434509310351,2
21.09790855,92.14555042091814,48,22,48_22,POINT (92.14555042091814 21.09790855),whykong,10,-32768.0,-32768.0,50863,10457,1.9163733428114533,0.342891626843625,3
21.09790855,92.15394610969362,48,23,48_23,POINT (92.15394610969362 21.09790855),whykong,10,-32768.0,-32768.0,50863,2919,2.6935755035291957,0.27074037042007243,3
21.09790855,92.16234179846911,48,24,48_24,POINT (92.16234179846911 21.09790855),whykong,10,-32768.0,-32768.0,50863,85,3.527828901710014,0.22085640197718875,4
21.09790855,92.1707374872446,48,25,48_25,POINT (92.1707374872446 21.09790855),whykong,10,-32768.0,-32768.0,50863,6346,4.4014497292828,0.18513548216115291,4
21.09790855,92.17913317602007,48,26,48_26,POINT (92.17913317602007 21.09790855),whykong,10,-32768.0,-32768.0,50863,967,3.770655657645933,0.2096147933874245,4
21.09790855,92.18752886479558,48,27,48_27,POINT (92.18752886479558 21.09790855),whykong,10,-32768.0,-32768.0,50863,2285,3.1737675180113936,0.23959168681164436,4
21.09790855,92.19592455357107,48,28,48_28,POINT (92.19592455357107 21.09790855),whykong,10,-32768.0,-32768.0,50863,304,2.634549994369876,0.2751372251170177,3
21.09790855,92.20432024234655,48,29,48_29,POINT (92.20432024234655 21.09790855),whykong,10,-32768.0,-32768.0,50863,748,2.349003785694335,0.29859625846695603,3
21.09790855,92.21271593112203,48,30,48_30,POINT (92.21271593112203 21.09790855),whykong,80,-32768.0,-32768.0,50863,38,2.07527384158912,0.3251742939039403,3
21.09790855,92.22111161989754,48,31,48_31,POINT (92.22111161989754 21.09790855),nhilla,40,-32768.0,-32768.0,46896,242,1.2168849415273317,0.45108340142860365,2
21.09790855,92.22950730867304,48,32,48_32,POINT (92.22950730867304 21.09790855),nhilla,40,-32768.0,-32768.0,46896,69,0.35849604146699615,0.7361081442093362,1
21.10690155,92.11196766581618,49,18,49_18,POINT (92.11196766581618 21.10690155),jalia palong,30,-32768.0,-32768.0,47656,329,0.27574381603664183,0.7838564353043104,1
21.10690155,92.12036335459166,49,19,49_19,POINT (92.12036335459166 21.10690155),whykong,10,-32768.0,-32768.0,50863,12,0.9675957750921921,0.5082344720694193,2
21.10690155,92.12875904336715,49,20,49_20,POINT (92.12875904336715 21.10690155),whykong,10,-32768.0,-32768.0,50863,302,1.6588219376010356,0.37610641986137133,3
21.10690155,92.13715473214263,49,21,49_21,POINT (92.13715473214263 21.10690155),whykong,10,-32768.0,-32768.0,50863,188,2.1936771270541224,0.313118690530376,3
21.10690155,92.14555042091814,49,22,49_22,POINT (92.14555042091814 21.10690155),whykong,10,-32768.0,-32768.0,50863,2184,2.6480928114506486,0.27411583303505765,3
21.10690155,92.15394610969362,49,23,49_23,POINT (92.15394610969362 21.10690155),whykong,10,-32768.0,-32768.0,50863,646,3.2751165833925246,0.2339117496548945,4
21.10690155,92.16234179846911,49,24,49_24,POINT (92.16234179846911 21.10690155),whykong,10,-32768.0,-32768.0,50863,353,4.0112749904128275,0.19955001509857678,4
21.10690155,92.1707374872446,49,25,49_25,POINT (92.1707374872446 21.10690155),whykong,10,-32768.0,-32768.0,50863,3147,3.8249774239957506,0.20725485574849825,4
21.10690155,92.17913317602007,49,26,49_26,POINT (92.17913317602007 21.10690155),whykong,10,-32768.0,-32768.0,50863,45,3.0584296755102347,0.24640072145004652,4
21.10690155,92.18752886479558,49,27,49_27,POINT (92.18752886479558 21.10690155),whykong,10,-32768.0,-32768.0,50863,13,2.40716726387458,0.29349894576728675,3
21.10690155,92.19592455357107,49,28,49_28,POINT (92.19592455357107 21.10690155),whykong,10,-32768.0,-32768.0,50863,979,1.8102791242410512,0.35583653999851766,3
